state,latitude,longitude
Acre,-8.065346116,-72.87094866
Acre,-8.325245103,-71.55302951
Acre,-9.857324143,-69.4370574
Acre,-9.945567619,-67.83560991
Aichi,35.31768384,136.767047
Aichi,35.34456343,136.7828386
Aichi,35.23883592,136.8374748
Aichi,34.99758836,136.8526405
Aichi,35.06073258,136.8742865
Aichi,35.03206025,136.8772933
Aichi,34.98477121,136.8893832
Aichi,35.05477516,136.8899718
Aichi,34.99268727,136.9092726
Aichi,35.03454129,136.9149222
Aichi,35.05246054,136.9174159
Aichi,35.16603659,136.9206655
Aichi,35.06327882,136.9400082
Aichi,34.97464958,136.9459425
Aichi,35.0830664,136.9657866
Aichi,35.02066822,136.977982
Aichi,35.29777739,137.0016403
Aichi,34.96226727,137.0049315
Aichi,35.07208199,137.0265393
Aichi,34.94684164,137.0272689
Aichi,35.09201511,137.0403616
Aichi,35.14878611,137.0411971
Aichi,35.25001279,137.0438122
Aichi,35.17350478,137.065261
Aichi,35.10907134,137.0740257
Aichi,35.13649713,137.0770319
Aichi,34.99877499,137.0968981
Aichi,34.71371873,137.3230736
Aichi,34.74574607,137.3385786
Akita,40.21887939,140.8412719
Alabama,30.68053087,-88.29475118
Alabama,30.62895862,-88.28239545
Alabama,30.50961582,-88.17201071
Alabama,30.66140191,-88.16291857
Alabama,30.60377558,-88.08849517
Alabama,30.48318052,-87.86514395
Alabama,30.61363151,-87.86307516
Alabama,34.8230141,-87.66093753
Alabama,33.17860185,-87.61596952
Alabama,33.1150898,-87.54254028
Alabama,33.21527652,-87.48690437
Alabama,33.46591193,-87.09102079
Alabama,34.76923514,-87.08750053
Alabama,34.61337915,-87.00970929
Alabama,34.53739687,-86.97004542
Alabama,33.40304496,-86.9504251
Alabama,34.44218232,-86.94239098
Alabama,33.45149416,-86.87023996
Alabama,33.39770028,-86.84237209
Alabama,33.35683071,-86.82021855
Alabama,33.46517505,-86.81156063
Alabama,33.21929346,-86.7948295
Alabama,33.42129713,-86.78733086
Alabama,34.82383065,-86.75350536
Alabama,34.71349153,-86.74450348
Alabama,33.649332,-86.70372205
Alabama,33.41974023,-86.67387901
