order_id,user_id,status,gender,created_at
69,65,Complete,F,2023-07-14 14:24:00+00:00
78,70,Complete,F,2023-11-26 16:57:00+00:00
199,175,Complete,F,2023-05-16 13:10:00+00:00
226,198,Complete,F,2023-09-25 01:18:00+00:00
227,198,Complete,F,2023-03-29 01:18:00+00:00
253,221,Complete,F,2023-11-16 00:48:00+00:00
303,258,Complete,F,2023-05-26 16:14:00+00:00
308,261,Complete,F,2023-03-24 11:28:00+00:00
336,284,Complete,F,2023-03-11 02:25:00+00:00
395,335,Complete,F,2023-10-10 06:55:00+00:00
407,345,Complete,F,2023-03-04 18:30:00+00:00
549,464,Complete,F,2023-01-15 00:16:00+00:00
596,502,Complete,F,2023-11-02 14:36:00+00:00
756,640,Complete,F,2023-07-21 17:59:00+00:00
797,675,Complete,F,2023-10-06 09:14:00+00:00
832,705,Complete,F,2023-04-10 02:28:00+00:00
876,737,Complete,F,2023-05-07 03:27:00+00:00
877,737,Complete,F,2023-05-12 03:27:00+00:00
930,776,Complete,F,2023-12-23 03:47:00+00:00
948,790,Complete,F,2023-04-04 09:19:00+00:00
951,792,Complete,F,2023-04-24 11:32:00+00:00
976,812,Complete,F,2023-04-06 09:45:00+00:00
980,816,Complete,F,2023-09-26 11:19:00+00:00
988,825,Complete,F,2023-10-25 14:57:00+00:00
999,830,Complete,F,2023-04-07 02:33:00+00:00
1002,832,Complete,F,2023-08-18 01:53:00+00:00
1039,855,Complete,F,2023-09-25 07:57:00+00:00
1055,871,Complete,F,2023-12-01 14:19:00+00:00
1160,967,Complete,F,2023-07-08 17:01:00+00:00
1234,1035,Complete,F,2023-04-03 01:10:00+00:00
1272,1060,Complete,F,2023-02-11 00:04:00+00:00
1284,1068,Complete,F,2023-03-30 00:52:00+00:00
1307,1086,Complete,F,2023-10-28 13:23:00+00:00
1316,1093,Complete,F,2023-09-03 04:44:00+00:00
1345,1118,Complete,F,2023-03-03 12:44:00+00:00
1353,1123,Complete,F,2023-06-19 02:38:00+00:00
1370,1136,Complete,F,2023-09-13 07:58:00+00:00
1379,1147,Complete,F,2023-03-09 10:09:00+00:00
1390,1160,Complete,F,2023-07-22 11:09:00+00:00
1423,1185,Complete,F,2023-07-18 16:01:00+00:00
1455,1212,Complete,F,2023-01-31 08:43:00+00:00
1540,1280,Complete,F,2023-06-10 12:26:00+00:00
1660,1371,Complete,F,2023-07-10 05:40:00+00:00
1699,1401,Complete,F,2023-01-25 16:38:00+00:00
1729,1431,Complete,F,2023-12-19 13:35:00+00:00
1743,1441,Complete,F,2023-10-08 15:58:00+00:00
1792,1472,Complete,F,2023-11-05 10:32:00+00:00
1884,1545,Complete,F,2023-01-16 01:29:00+00:00
1902,1561,Complete,F,2023-10-28 01:23:00+00:00
1923,1577,Complete,F,2023-12-01 02:01:00+00:00
1940,1588,Complete,F,2023-06-29 17:02:00+00:00
1958,1602,Complete,F,2023-11-29 17:46:00+00:00
1991,1629,Complete,F,2023-06-12 04:54:00+00:00
2002,1636,Complete,F,2023-12-16 03:06:00+00:00
2064,1680,Complete,F,2023-05-28 00:21:00+00:00
2065,1680,Complete,F,2023-03-14 00:21:00+00:00
2101,1712,Complete,F,2023-09-02 03:01:00+00:00
2128,1734,Complete,F,2023-12-31 14:35:00+00:00
2175,1765,Complete,F,2023-09-27 09:38:00+00:00
2206,1788,Complete,F,2023-07-23 11:03:00+00:00
2212,1794,Complete,F,2023-11-12 14:00:00+00:00
2234,1813,Complete,F,2023-12-17 13:26:00+00:00
2296,1866,Complete,F,2023-09-23 11:11:00+00:00
2393,1946,Complete,F,2023-10-21 05:24:00+00:00
2405,1956,Complete,F,2023-10-12 01:11:00+00:00
2470,2018,Complete,F,2023-06-17 05:06:00+00:00
2547,2082,Complete,F,2023-05-01 11:31:00+00:00
2552,2086,Complete,F,2023-06-02 08:36:00+00:00
2577,2108,Complete,F,2023-06-13 06:54:00+00:00
2578,2108,Complete,F,2023-05-07 06:54:00+00:00
2588,2114,Complete,F,2023-01-05 06:47:00+00:00
2716,2216,Complete,F,2023-07-26 07:45:00+00:00
2755,2246,Complete,F,2023-05-29 05:06:00+00:00
2767,2252,Complete,F,2023-03-26 02:44:00+00:00
2776,2259,Complete,F,2023-08-07 00:38:00+00:00
2798,2284,Complete,F,2023-07-25 18:03:00+00:00
2861,2340,Complete,F,2023-09-15 03:12:00+00:00
2874,2354,Complete,F,2023-04-01 17:40:00+00:00
2962,2426,Complete,F,2023-10-20 16:42:00+00:00
2975,2441,Complete,F,2023-11-04 11:12:00+00:00
2996,2455,Complete,F,2023-03-16 15:48:00+00:00
3022,2475,Complete,F,2023-07-18 12:00:00+00:00
3196,2615,Complete,F,2023-02-07 16:25:00+00:00
3309,2709,Complete,F,2023-08-06 02:33:00+00:00
3325,2719,Complete,F,2023-12-25 01:13:00+00:00
3336,2728,Complete,F,2023-11-02 03:32:00+00:00
3375,2752,Complete,F,2023-07-22 11:29:00+00:00
3386,2763,Complete,F,2023-10-28 13:45:00+00:00
3413,2779,Complete,F,2023-10-21 05:22:00+00:00
3425,2789,Complete,F,2023-05-17 08:03:00+00:00
3437,2801,Complete,F,2023-05-22 13:23:00+00:00
3454,2820,Complete,F,2023-03-02 07:29:00+00:00
3478,2840,Complete,F,2023-10-18 07:43:00+00:00
3480,2842,Complete,F,2023-08-25 17:56:00+00:00
3514,2868,Complete,F,2023-04-30 09:25:00+00:00
3548,2897,Complete,F,2023-11-06 13:01:00+00:00
3569,2912,Complete,F,2023-11-03 06:38:00+00:00
3576,2916,Complete,F,2023-05-02 18:04:00+00:00
3600,2936,Complete,F,2023-09-25 09:20:00+00:00
3612,2943,Complete,F,2023-12-01 08:01:00+00:00
3632,2961,Complete,F,2023-07-24 12:04:00+00:00
3725,3037,Complete,F,2023-11-24 17:28:00+00:00
3908,3174,Complete,F,2023-12-14 15:55:00+00:00
3910,3175,Complete,F,2023-11-05 14:57:00+00:00
3968,3214,Complete,F,2023-02-14 16:59:00+00:00
3978,3222,Complete,F,2023-07-16 11:03:00+00:00
4042,3267,Complete,F,2023-12-23 18:04:00+00:00
4077,3303,Complete,F,2023-09-10 04:22:00+00:00
4211,3398,Complete,F,2023-05-30 00:12:00+00:00
4271,3452,Complete,F,2023-06-20 05:38:00+00:00
4289,3469,Complete,F,2023-08-28 00:45:00+00:00
4292,3472,Complete,F,2023-03-09 03:43:00+00:00
4294,3474,Complete,F,2023-12-07 05:33:00+00:00
4303,3480,Complete,F,2023-05-24 16:57:00+00:00
4312,3488,Complete,F,2023-11-27 01:38:00+00:00
4313,3490,Complete,F,2023-05-01 11:20:00+00:00
4341,3509,Complete,F,2023-05-31 03:28:00+00:00
4423,3578,Complete,F,2023-10-03 15:57:00+00:00
4429,3586,Complete,F,2023-02-05 04:08:00+00:00
4433,3590,Complete,F,2023-12-31 18:17:00+00:00
4440,3598,Complete,F,2023-12-20 09:04:00+00:00
4465,3620,Complete,F,2023-06-17 05:33:00+00:00
4505,3643,Complete,F,2023-04-16 05:21:00+00:00
4624,3747,Complete,F,2023-06-15 18:00:00+00:00
4647,3764,Complete,F,2023-08-03 11:22:00+00:00
4670,3783,Complete,F,2023-06-28 08:48:00+00:00
4678,3788,Complete,F,2023-09-22 03:41:00+00:00
4696,3803,Complete,F,2023-03-17 12:22:00+00:00
4701,3806,Complete,F,2023-02-28 15:02:00+00:00
4742,3844,Complete,F,2023-02-12 10:07:00+00:00
4872,3940,Complete,F,2023-04-30 12:46:00+00:00
4900,3961,Complete,F,2023-06-05 10:17:00+00:00
4929,3981,Complete,F,2023-03-20 17:08:00+00:00
5016,4050,Complete,F,2023-07-03 11:52:00+00:00
5078,4104,Complete,F,2023-02-01 11:07:00+00:00
5109,4127,Complete,F,2023-12-26 07:18:00+00:00
5110,4128,Complete,F,2023-10-18 03:39:00+00:00
5135,4144,Complete,F,2023-07-09 13:32:00+00:00
5168,4174,Complete,F,2023-07-04 10:49:00+00:00
5173,4175,Complete,F,2023-01-04 08:36:00+00:00
5190,4192,Complete,F,2023-06-21 06:17:00+00:00
5223,4220,Complete,F,2023-01-30 15:38:00+00:00
5244,4236,Complete,F,2023-03-26 14:10:00+00:00
5247,4237,Complete,F,2023-03-24 02:01:00+00:00
5256,4244,Complete,F,2023-04-01 05:22:00+00:00
5272,4255,Complete,F,2023-12-08 04:11:00+00:00
5313,4283,Complete,F,2023-11-06 17:50:00+00:00
5321,4291,Complete,F,2023-03-17 15:44:00+00:00
5359,4322,Complete,F,2023-07-22 09:17:00+00:00
5378,4338,Complete,F,2023-10-24 00:22:00+00:00
5437,4383,Complete,F,2023-04-16 08:10:00+00:00
5441,4386,Complete,F,2023-11-19 10:37:00+00:00
5462,4400,Complete,F,2023-02-09 11:48:00+00:00
5475,4413,Complete,F,2023-09-10 09:31:00+00:00
5497,4427,Complete,F,2023-08-20 00:33:00+00:00
5506,4432,Complete,F,2023-11-30 14:21:00+00:00
5514,4435,Complete,F,2023-07-11 00:40:00+00:00
5521,4440,Complete,F,2023-02-03 11:45:00+00:00
5531,4447,Complete,F,2023-08-18 18:39:00+00:00
5536,4455,Complete,F,2023-03-12 09:31:00+00:00
5539,4457,Complete,F,2023-04-26 10:50:00+00:00
5541,4459,Complete,F,2023-10-13 10:50:00+00:00
5549,4466,Complete,F,2023-11-29 12:08:00+00:00
